origen,destino,tiempo,costo
000,001,6,9.00
001,002,8,12.50
002,003,15,25.00
003,004,10,16.00
004,005,20,32.00
005,006,12,18.00
006,007,7,11.00
007,008,14,21.00
008,009,9,13.50
009,010,11,17.00
010,011,18,27.00
011,012,22,33.00
012,013,16,24.00
013,014,8,12.00
014,015,13,19.00
015,016,17,26.00
016,017,21,31.00
017,018,19,28.00
018,019,6,9.00
019,020,10,15.00
020,021,14,20.00
021,022,12,18.00
022,023,9,14.00
023,024,15,23.00
024,025,18,27.00
025,026,11,16.00
026,027,7,10.00
027,028,20,30.00
028,029,13,19.00
029,030,16,24.00
030,000,25,38.00
002,010,22,34.00
005,015,19,29.00
007,017,24,36.00
010,020,21,32.00
012,022,26,40.00
014,024,17,26.00
018,028,23,35.00
003,021,28,42.00
006,026,30,45.00
009,029,27,41.00
011,001,20,30.00
