SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock

001,Jugo,0000000001,Food,2025-10-16,Whirlpool,54.41,293

021,Carne,0000000002,Computers,2025-06-14,Nestle,111.78,71

003,Carne,0000000003,Computers,2025-04-28,Whirlpool,361.64,64

028,Queso,0000000004,Computers,2025-07-23,Bimbo,200.33,231

001,Jugo,0000000005,Computers,2025-10-10,Whirlpool,37.96,487

000,Monitor,0000000006,Electronics,2026-01-19,HP,92.78,448

029,Leche,0000000007,Food,2025-04-15,Philips,224.62,456

000,Jugo,0000000008,Food,2025-10-26,Dell,720.91,487

025,Jugo,0000000009,Kitchen,2025-03-26,HP,548.97,236

020,Jugo,0000000010,Computers,2026-12-20,Philips,69.92,137

025,Pan,0000000011,Electronics,2025-09-23,Nestle,936.04,224

001,Audifonos,0000000012,Kitchen,2026-11-06,HP,688.23,12

016,Audifonos,0000000013,Food,2026-06-18,Sony,857.64,241

002,Audifonos,0000000014,Computers,2025-04-24,Philips,660.55,397

013,Pan,0000000015,Electronics,2025-01-11,Samsung,116.18,356

026,Jugo,0000000016,Food,2025-12-02,Samsung,82.21,411

016,Mouse,0000000017,Food,2026-08-08,Philips,247.99,48

012,Monitor,0000000018,Computers,2025-10-13,Dell,698.16,180

020,Teclado,0000000019,Food,2026-05-14,Whirlpool,219.42,113

028,Leche,0000000020,Computers,2026-11-13,Whirlpool,616.53,62

019,Teclado,0000000021,Kitchen,2025-07-16,Bimbo,633.73,485

027,Carne,0000000022,Food,2025-03-13,Samsung,561.05,500

012,Cafetera,0000000023,Kitchen,2025-09-05,Whirlpool,898.99,214

006,Mouse,0000000024,Electronics,2025-08-28,HP,122.29,409

016,Laptop,0000000025,Food,2026-07-24,Dell,632.94,68

001,Monitor,0000000026,Kitchen,2025-09-04,HP,855.97,9

029,Monitor,0000000027,Kitchen,2025-10-09,Bimbo,62.15,343

006,Leche,0000000028,Food,2026-07-18,LG,358.54,246

024,Mouse,0000000029,Kitchen,2025-01-18,Samsung,121.26,158

006,Cafetera,0000000030,Kitchen,2025-12-18,Samsung,191.98,141

022,Leche,0000000031,Electronics,2026-08-26,Dell,63.25,279

011,Queso,0000000032,Computers,2025-11-10,Philips,66.28,492

009,Queso,0000000033,Kitchen,2025-05-13,Dell,674.17,101

015,Refrigeradora,0000000034,Kitchen,2026-03-12,Sony,61.4,425

006,Mouse,0000000035,Kitchen,2026-05-03,LG,407.16,4

011,Cafetera,0000000036,Computers,2025-04-27,Nestle,639.97,82

008,Leche,0000000037,Food,2026-12-10,Whirlpool,74.23,446

004,Microondas,0000000038,Kitchen,2026-10-05,Bimbo,348.85,315

022,Mouse,0000000039,Kitchen,2025-02-18,Bimbo,878.06,135

005,Leche,0000000040,Computers,2026-03-23,Philips,265.67,379

026,Pan,0000000041,Food,2026-02-07,Sony,254.6,157

025,Microondas,0000000042,Electronics,2026-09-13,Whirlpool,648.15,100

025,Leche,0000000043,Computers,2026-08-26,Philips,537.02,95

001,Cafetera,0000000044,Electronics,2025-10-20,LG,529.18,5

017,Licuadora,0000000045,Computers,2026-11-03,Samsung,453.57,70

004,Monitor,0000000046,Computers,2026-10-12,Samsung,698.45,321

022,Monitor,0000000047,Food,2025-07-01,Whirlpool,905.27,211

022,Licuadora,0000000048,Computers,2025-08-17,Nestle,449.14,346

002,Carne,0000000049,Computers,2025-03-04,Bimbo,978.11,125

020,Jugo,0000000050,Food,2026-11-26,Nestle,650.05,490

004,Queso,0000000051,Electronics,2025-08-27,LG,357.48,55

030,Refrigeradora,0000000052,Computers,2026-04-04,Philips,135.69,268

014,Queso,0000000053,Kitchen,2025-05-13,Philips,238.02,194

019,Refrigeradora,0000000054,Computers,2026-09-27,Samsung,131.01,362

015,Audifonos,0000000055,Electronics,2026-05-24,Samsung,277.35,84

016,Jugo,0000000056,Food,2025-04-07,Whirlpool,494.76,257

005,Licuadora,0000000057,Computers,2026-05-05,Samsung,853.26,315

017,Pan,0000000058,Food,2025-04-07,Bimbo,740.6,448

026,Monitor,0000000059,Kitchen,2025-07-09,Bimbo,339.12,46

019,Licuadora,0000000060,Electronics,2026-01-25,HP,410.17,77

020,Teclado,0000000061,Food,2025-08-21,LG,352.85,232

008,Pan,0000000062,Electronics,2026-10-03,LG,288.04,432

015,Jugo,0000000063,Food,2025-10-10,Sony,579.38,327

002,Cafetera,0000000064,Computers,2026-04-09,Nestle,198.46,149

016,Leche,0000000065,Computers,2026-11-24,Samsung,962.69,127

024,Mouse,0000000066,Computers,2026-09-26,Philips,670.74,422

014,Microondas,0000000067,Electronics,2026-05-07,HP,113.89,95

005,Mouse,0000000068,Computers,2025-12-12,HP,446.66,118

020,Teclado,0000000069,Computers,2025-06-18,Nestle,337.84,500

005,Microondas,0000000070,Computers,2026-10-28,Nestle,417.19,406

030,Teclado,0000000071,Electronics,2026-04-02,LG,65.91,348

018,Licuadora,0000000072,Kitchen,2025-02-13,Dell,338.56,337

001,Licuadora,0000000073,Food,2025-05-16,HP,838.71,396

001,Refrigeradora,0000000074,Computers,2025-09-05,Samsung,534.97,397

010,Cafetera,0000000075,Kitchen,2025-11-16,LG,548.6,330

022,Monitor,0000000076,Computers,2026-08-18,Whirlpool,333.56,376

006,Queso,0000000077,Electronics,2026-06-19,Sony,922.86,266

013,Laptop,0000000078,Food,2026-05-20,Nestle,378.25,262

026,Carne,0000000079,Food,2026-02-17,Philips,329.3,21

010,Laptop,0000000080,Computers,2025-01-01,LG,639.48,356

017,Mouse,0000000081,Electronics,2026-09-18,HP,520.11,336

027,Teclado,0000000082,Food,2025-04-17,Philips,330.58,90

021,Laptop,0000000083,Electronics,2025-08-19,Sony,923.78,151

019,Mouse,0000000084,Kitchen,2026-08-21,Sony,908.01,35

022,Monitor,0000000085,Computers,2026-12-15,Samsung,498.88,118

001,Pan,0000000086,Food,2025-07-17,Whirlpool,614.04,430

003,Carne,0000000087,Kitchen,2025-06-15,Samsung,874.98,27

029,Leche,0000000088,Food,2025-05-24,Sony,507.06,421

003,Jugo,0000000089,Computers,2026-10-05,Dell,36.65,369

016,Laptop,0000000090,Food,2025-07-08,Whirlpool,594.37,34

009,Licuadora,0000000091,Electronics,2025-10-28,LG,816.72,194

017,Pan,0000000092,Electronics,2026-04-27,Bimbo,442.41,305

010,Queso,0000000093,Computers,2025-09-03,Whirlpool,159.16,333

007,Leche,0000000094,Computers,2025-10-18,Dell,477.39,129

004,Teclado,0000000095,Electronics,2026-05-21,Philips,218.39,130

015,Leche,0000000096,Computers,2026-12-14,Whirlpool,506.14,181

012,Audifonos,0000000097,Electronics,2026-06-12,Nestle,813.92,214

025,Laptop,0000000098,Computers,2025-06-11,Sony,51.05,132

028,Queso,0000000099,Food,2025-11-21,Philips,376.89,49

016,Teclado,0000000100,Computers,2025-09-22,Samsung,303.27,320

026,Teclado,0000000101,Food,2025-05-06,HP,797.83,1

005,Cafetera,0000000102,Electronics,2026-01-01,Dell,205.58,137

022,Refrigeradora,0000000103,Food,2026-05-23,Whirlpool,556.15,30

026,Pan,0000000104,Computers,2025-09-09,Dell,454.81,67

005,Licuadora,0000000105,Kitchen,2026-04-23,Sony,618.91,11

011,Pan,0000000106,Computers,2026-10-27,Nestle,48.69,396

004,Queso,0000000107,Computers,2026-09-16,HP,187.63,60

000,Laptop,0000000108,Food,2026-12-17,Whirlpool,764.07,41

027,Mouse,0000000109,Computers,2026-04-13,HP,697.53,92

025,Queso,0000000110,Computers,2026-02-14,Sony,431.66,285

022,Microondas,0000000111,Food,2025-06-09,Philips,723.92,49

021,Audifonos,0000000112,Food,2025-09-04,Bimbo,999.61,17

008,Mouse,0000000113,Food,2026-08-19,Bimbo,625.06,209

015,Teclado,0000000114,Electronics,2025-07-13,Dell,433.34,88

020,Refrigeradora,0000000115,Kitchen,2026-07-26,LG,783.8,98

016,Microondas,0000000116,Food,2025-02-01,Nestle,694.33,287

010,Cafetera,0000000117,Kitchen,2025-01-07,Philips,700.47,426

025,Leche,0000000118,Computers,2025-11-06,Bimbo,765.66,240

007,Jugo,0000000119,Food,2026-09-02,Sony,257.44,436

007,Refrigeradora,0000000120,Electronics,2025-07-24,Philips,194.09,95

020,Jugo,0000000121,Electronics,2025-02-09,Sony,365.21,303

000,Audifonos,0000000122,Electronics,2025-03-26,HP,565.66,43

030,Jugo,0000000123,Electronics,2026-07-22,Nestle,755.14,365

000,Refrigeradora,0000000124,Electronics,2025-10-13,Whirlpool,706.66,1

026,Licuadora,0000000125,Computers,2025-12-03,Bimbo,844.07,362

025,Cafetera,0000000126,Electronics,2026-05-12,LG,955.26,347

028,Cafetera,0000000127,Food,2026-08-06,Dell,713.6,421

025,Microondas,0000000128,Food,2026-05-09,Dell,702.25,264

022,Teclado,0000000129,Computers,2026-09-01,Nestle,306.34,8

025,Mouse,0000000130,Computers,2025-03-08,HP,879.83,296

001,Monitor,0000000131,Computers,2026-12-06,Dell,762.31,37

004,Teclado,0000000132,Electronics,2025-08-12,Philips,581.4,199

027,Monitor,0000000133,Kitchen,2025-12-13,Whirlpool,698.4,247

022,Mouse,0000000134,Electronics,2026-09-03,HP,109.19,143

000,Leche,0000000135,Food,2026-05-23,Sony,586.52,206

026,Monitor,0000000136,Kitchen,2025-05-24,LG,858.58,104

013,Microondas,0000000137,Electronics,2025-05-15,Sony,252.73,208

005,Microondas,0000000138,Computers,2025-06-04,Nestle,720.64,227

014,Carne,0000000139,Kitchen,2026-06-23,Whirlpool,817.02,251

011,Cafetera,0000000140,Computers,2025-08-19,HP,350.17,214

029,Audifonos,0000000141,Computers,2026-07-27,HP,925.58,360

002,Laptop,0000000142,Food,2025-05-04,Bimbo,434.84,412

027,Teclado,0000000143,Food,2026-08-27,Bimbo,430.08,223

003,Jugo,0000000144,Food,2025-02-27,Philips,316.01,53

025,Jugo,0000000145,Kitchen,2026-08-06,Philips,857.49,46

005,Pan,0000000146,Food,2025-03-24,Philips,486.99,162

026,Carne,0000000147,Electronics,2025-11-12,Nestle,669.62,427

016,Queso,0000000148,Electronics,2026-11-02,Whirlpool,692.42,188

014,Carne,0000000149,Electronics,2025-04-18,Bimbo,104.36,393

001,Audifonos,0000000150,Computers,2025-07-11,Whirlpool,85.53,412

004,Refrigeradora,0000000151,Computers,2025-01-01,LG,985.76,151

013,Carne,0000000152,Electronics,2026-12-22,Sony,763.74,31

016,Monitor,0000000153,Electronics,2025-06-23,LG,370.1,60

025,Licuadora,0000000154,Kitchen,2026-01-20,Bimbo,18.13,434

005,Carne,0000000155,Computers,2026-03-21,Dell,649.09,29

000,Cafetera,0000000156,Computers,2026-07-05,LG,432.03,274

019,Mouse,0000000157,Electronics,2025-08-05,LG,575.92,78

012,Licuadora,0000000158,Kitchen,2025-05-08,Philips,73.43,482

002,Queso,0000000159,Kitchen,2026-08-10,Sony,638.19,243

020,Cafetera,0000000160,Kitchen,2025-08-12,HP,167.37,392

011,Leche,0000000161,Computers,2026-12-13,Whirlpool,491.22,354

029,Laptop,0000000162,Computers,2025-04-04,Dell,655.94,179

022,Microondas,0000000163,Kitchen,2026-06-13,Nestle,92.74,400

016,Refrigeradora,0000000164,Food,2026-01-14,Dell,148.32,492

022,Pan,0000000165,Computers,2025-08-24,Whirlpool,196.19,238

027,Queso,0000000166,Kitchen,2026-10-09,Philips,30.76,470

018,Microondas,0000000167,Kitchen,2026-03-13,Whirlpool,999.02,298

017,Cafetera,0000000168,Electronics,2025-09-06,Nestle,583.78,418

014,Monitor,0000000169,Computers,2025-12-24,Samsung,276.56,125

016,Cafetera,0000000170,Electronics,2026-08-27,Bimbo,228.03,479

003,Laptop,0000000171,Computers,2026-09-23,Dell,241.58,389

026,Licuadora,0000000172,Computers,2026-08-06,Dell,599.74,242

014,Jugo,0000000173,Kitchen,2025-03-01,Whirlpool,859.65,191

016,Pan,0000000174,Kitchen,2025-04-09,Samsung,729.16,494

023,Refrigeradora,0000000175,Electronics,2026-05-24,Bimbo,902.06,173

003,Microondas,0000000176,Kitchen,2025-09-22,Whirlpool,934.35,249

027,Mouse,0000000177,Computers,2026-10-19,Bimbo,421.01,91

001,Mouse,0000000178,Kitchen,2025-11-03,LG,407.83,340

019,Jugo,0000000179,Computers,2026-08-28,Sony,64.44,140

029,Pan,0000000180,Electronics,2025-03-17,HP,710.58,113

027,Teclado,0000000181,Kitchen,2026-03-04,Bimbo,525.51,308

017,Pan,0000000182,Electronics,2026-10-19,Samsung,572.65,117

007,Queso,0000000183,Computers,2025-12-08,HP,145.04,51

013,Pan,0000000184,Electronics,2026-02-22,HP,59.55,388

001,Monitor,0000000185,Food,2025-11-11,Philips,962.87,141

004,Monitor,0000000186,Kitchen,2025-12-13,Sony,252.06,239

027,Licuadora,0000000187,Computers,2026-03-19,Samsung,687.46,464

010,Pan,0000000188,Food,2026-01-22,Dell,896.34,18

030,Queso,0000000189,Food,2025-08-10,Whirlpool,60.77,260

012,Refrigeradora,0000000190,Electronics,2026-11-13,Dell,724.33,187

029,Audifonos,0000000191,Electronics,2026-12-02,Bimbo,76.96,386

002,Leche,0000000192,Computers,2026-08-09,Whirlpool,996.73,302

